pickup,dropoff,passengers,distance,fare,payment,pickup_zone,dropoff_zone
13-03-2019 20:15,13-03-2019 20:33,5,1.7,11.5,cash,Clinton East,Sutton Place/Turtle Bay North
16-03-2019 08:29,16-03-2019 08:48,5,7.89,24,credit card,LaGuardia Airport,South Williamsburg
29-03-2019 21:12,29-03-2019 21:20,2,1.46,8,credit card,Yorkville West,Midtown Center
24-03-2019 11:08,24-03-2019 11:22,2,1.7,10,cash,Midtown Center,Penn Station/Madison Sq West
03-03-2019 12:04,03-03-2019 12:15,1,4.69,15,credit card,Yorkville East,Two Bridges/Seward Park
27-03-2019 21:55,27-03-2019 22:05,1,1.7,9,credit card,Lincoln Square East,Upper East Side South
11-03-2019 23:13,11-03-2019 23:16,1,0.29,3.5,cash,Gramercy,Kips Bay
15-03-2019 08:06,15-03-2019 08:21,5,2.3,11.5,credit card,Yorkville East,Upper West Side South
15-03-2019 21:28,15-03-2019 21:38,5,0.8,7,cash,Flatiron,Gramercy
12-03-2019 11:36,12-03-2019 11:57,1,1.5,13.5,credit card,Yorkville West,Upper East Side South
04-03-2019 19:47,04-03-2019 19:54,1,1.82,8,cash,Lenox Hill East,Upper East Side North
15-03-2019 09:30,15-03-2019 09:55,1,5.3,22,credit card,Murray Hill,Financial District North
01-03-2019 06:42,01-03-2019 06:47,1,0.7,5.5,credit card,Clinton East,Times Sq/Theatre District
28-03-2019 22:48,28-03-2019 22:57,6,0.97,7,credit card,Times Sq/Theatre District,Penn Station/Madison Sq West
02-03-2019 15:20,02-03-2019 15:24,2,0.55,4.5,credit card,East Village,Greenwich Village South
19-03-2019 17:58,19-03-2019 18:30,1,13.88,40.5,credit card,JFK Airport,Jackson Heights
31-03-2019 03:33,31-03-2019 03:39,2,0.6,5,cash,East Village,Two Bridges/Seward Park
31-03-2019 15:50,31-03-2019 16:12,2,3.15,15.5,cash,Midtown South,Two Bridges/Seward Park
16-03-2019 18:30,16-03-2019 18:32,1,0.3,3.5,credit card,Lenox Hill West,Upper East Side South
16-03-2019 19:14,16-03-2019 19:36,2,3.98,17.5,cash,West Village,Lincoln Square East
25-03-2019 09:31,25-03-2019 09:45,1,2.5,11.5,credit card,Yorkville East,UN/Turtle Bay South
24-03-2019 23:05,24-03-2019 23:20,1,4.31,15,cash,Union Sq,Upper West Side North
18-03-2019 11:22,18-03-2019 11:34,1,1.46,9,credit card,Midtown Center,Garment District
03-03-2019 20:09,03-03-2019 20:16,1,1.52,6.5,credit card,Little Italy/NoLiTa,Financial District North
01-03-2019 23:34,01-03-2019 23:39,2,1.26,6,cash,Garment District,Central Park
16-03-2019 22:54,16-03-2019 23:16,1,4.11,15.5,cash,Lower East Side,Lenox Hill West
30-03-2019 11:00,30-03-2019 11:10,6,2.89,11,credit card,Long Island City/Queens Plaza,UN/Turtle Bay South
09-03-2019 21:51,09-03-2019 21:57,1,1.9,8.5,credit card,Financial District North,Hudson Sq
29-03-2019 16:48,29-03-2019 16:56,2,1.89,52,cash,Long Island City/Hunters Point,Murray Hill
08-03-2019 09:12,08-03-2019 09:39,1,1.6,17,credit card,West Chelsea/Hudson Yards,Times Sq/Theatre District
02-03-2019 10:48,02-03-2019 10:57,1,2.19,9,credit card,Yorkville West,Midtown East
17-03-2019 01:20,17-03-2019 01:32,1,2.49,11,credit card,Lower East Side,East Williamsburg
01-03-2019 04:30,01-03-2019 04:36,1,2.11,7.5,credit card,Sutton Place/Turtle Bay North,Yorkville West
11-03-2019 22:00,11-03-2019 22:17,3,3.11,14,credit card,Midtown Center,Upper West Side North
14-03-2019 16:08,14-03-2019 16:11,1,0.44,4,cash,Upper East Side North,Upper East Side North
15-03-2019 08:39,15-03-2019 09:00,1,3.4,15.5,credit card,LaGuardia Airport,Steinway
01-03-2019 15:52,01-03-2019 15:59,1,0.99,6,credit card,Upper East Side North,Upper East Side North
06-03-2019 07:47,06-03-2019 07:59,1,1.39,9.5,credit card,UN/Turtle Bay South,Garment District
13-03-2019 16:58,13-03-2019 18:04,5,19.25,52,credit card,Lenox Hill East,JFK Airport
22-03-2019 08:46,22-03-2019 08:56,5,1.9,9,credit card,Lincoln Square West,Manhattan Valley
12-03-2019 23:18,12-03-2019 23:24,1,1.19,6,credit card,East Village,West Village
28-03-2019 06:58,28-03-2019 07:18,1,6.32,20.5,credit card,Manhattan Valley,
19-03-2019 18:17,19-03-2019 18:30,1,0.99,9,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District
25-03-2019 16:32,25-03-2019 16:41,1,1.1,7.5,credit card,Garment District,Midtown South
19-03-2019 13:49,19-03-2019 13:50,1,0.3,3,credit card,Upper East Side North,Upper East Side North
06-03-2019 19:51,06-03-2019 20:30,1,22.47,59.5,cash,JFK Airport,Woodlawn/Wakefield
27-03-2019 23:10,27-03-2019 23:20,1,2.56,10,credit card,Lower East Side,UN/Turtle Bay South
19-03-2019 21:20,19-03-2019 21:47,1,5.3,20.5,credit card,Midtown Center,Brooklyn Heights
21-03-2019 14:20,21-03-2019 14:55,1,8.8,28.5,credit card,UN/Turtle Bay South,LaGuardia Airport
15-03-2019 17:30,15-03-2019 17:39,1,0.87,7.5,credit card,Upper East Side South,Times Sq/Theatre District
03-03-2019 02:51,03-03-2019 03:08,1,4.65,17,credit card,Williamsburg (North Side),Lenox Hill West
22-03-2019 19:39,22-03-2019 19:57,1,1.91,12,credit card,Midtown East,Clinton West
24-03-2019 18:34,24-03-2019 18:37,1,0.55,4,credit card,Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North
06-03-2019 06:17,06-03-2019 06:22,1,1,5.5,credit card,East Chelsea,Garment District
09-03-2019 20:45,09-03-2019 20:52,6,1.15,6.5,credit card,Kips Bay,East Village
22-03-2019 11:15,22-03-2019 11:30,1,1.8,10.5,credit card,Midtown Center,Upper West Side South
06-03-2019 09:07,06-03-2019 09:23,2,1.31,10.5,credit card,Midtown Center,Penn Station/Madison Sq West
12-03-2019 20:12,12-03-2019 20:17,5,0.89,5.5,credit card,Midtown East,Lenox Hill West
02-03-2019 13:56,02-03-2019 14:19,1,2.8,15,credit card,Penn Station/Madison Sq West,East Village
18-03-2019 20:39,18-03-2019 20:44,1,0.8,5.5,cash,Clinton East,East Chelsea
10-03-2019 11:53,10-03-2019 12:01,1,1.1,7,credit card,Lincoln Square East,Upper East Side South
11-03-2019 10:39,11-03-2019 10:52,1,0.74,9,credit card,East Chelsea,Times Sq/Theatre District
24-03-2019 18:06,24-03-2019 18:21,2,7.8,22,credit card,Yorkville East,Battery Park City
09-03-2019 15:05,09-03-2019 16:00,1,18,52,credit card,JFK Airport,Midtown Center
14-03-2019 21:03,14-03-2019 21:19,1,2.47,12,credit card,Midtown Center,Yorkville West
12-03-2019 14:00,12-03-2019 14:06,5,0.85,6,cash,Manhattanville,Morningside Heights
22-03-2019 15:07,22-03-2019 15:15,1,1.2,7.5,cash,Clinton East,Midtown North
30-03-2019 20:50,30-03-2019 20:58,1,1,7,credit card,Clinton East,Lincoln Square East
24-03-2019 00:13,24-03-2019 00:28,1,2.4,11.5,credit card,Clinton East,Greenwich Village South
18-03-2019 06:15,18-03-2019 06:19,3,1.13,5.5,cash,Old Astoria,Queensbridge/Ravenswood
12-03-2019 10:20,12-03-2019 10:42,1,2.7,16,credit card,Clinton West,Upper East Side North
27-03-2019 16:51,27-03-2019 16:56,1,0.6,5,credit card,Central Park,Central Park
29-03-2019 04:17,29-03-2019 04:21,1,0.62,5,cash,Lower East Side,East Village
24-03-2019 18:19,24-03-2019 18:31,2,0.7,8,cash,Times Sq/Theatre District,Midtown Center
11-03-2019 07:43,11-03-2019 07:58,1,4.1,14.5,credit card,Downtown Brooklyn/MetroTech,Flatiron
30-03-2019 22:41,30-03-2019 22:45,2,0.8,5,credit card,Little Italy/NoLiTa,East Village
30-03-2019 02:42,30-03-2019 02:49,4,1,7,credit card,Penn Station/Madison Sq West,Clinton East
20-03-2019 08:50,20-03-2019 09:07,1,4.83,17,credit card,Two Bridges/Seward Park,Lenox Hill East
14-03-2019 21:20,14-03-2019 21:34,1,2.81,11.5,credit card,Midtown Center,Yorkville West
12-03-2019 07:55,12-03-2019 08:06,1,1.34,8.5,credit card,Upper East Side South,Midtown East
17-03-2019 21:14,17-03-2019 21:20,2,0.98,6,credit card,Gramercy,East Village
25-03-2019 15:04,25-03-2019 15:08,0,0.9,5.5,credit card,Queensbridge/Ravenswood,Queensbridge/Ravenswood
13-03-2019 12:47,13-03-2019 12:50,1,0.94,4.5,credit card,Hudson Sq,Meatpacking/West Village West
03-03-2019 09:26,03-03-2019 09:31,1,0.99,5.5,cash,Central Park,Manhattan Valley
22-03-2019 17:53,22-03-2019 18:19,0,3.5,17.5,credit card,Times Sq/Theatre District,TriBeCa/Civic Center
17-03-2019 14:01,17-03-2019 14:16,1,1.42,10.5,cash,Penn Station/Madison Sq West,Midtown Center
15-03-2019 14:55,15-03-2019 15:01,1,1.2,6,cash,Upper East Side North,Upper West Side North
26-03-2019 06:44,26-03-2019 06:55,2,3.04,11.5,credit card,Battery Park City,Penn Station/Madison Sq West
04-03-2019 00:46,04-03-2019 01:28,1,18.98,52,credit card,JFK Airport,Upper East Side North
03-03-2019 13:23,03-03-2019 13:35,1,1.67,10,cash,Central Park,Times Sq/Theatre District
20-03-2019 18:27,20-03-2019 18:38,1,1.92,9,cash,Lenox Hill West,Upper West Side South
23-03-2019 23:17,23-03-2019 23:28,2,2.2,10,credit card,Yorkville West,Murray Hill
31-03-2019 20:52,31-03-2019 20:55,0,0.9,4.5,credit card,Hudson Sq,West Village
02-03-2019 17:57,02-03-2019 18:57,1,23.33,52,credit card,JFK Airport,Lincoln Square West
26-03-2019 10:05,26-03-2019 10:24,1,2,13,credit card,Upper West Side South,Midtown North
29-03-2019 14:26,29-03-2019 14:35,3,1.5,8,cash,UN/Turtle Bay South,Gramercy
16-03-2019 13:40,16-03-2019 13:56,2,2.6,12.5,credit card,Astoria,Woodside
02-03-2019 04:32,02-03-2019 04:41,1,2.6,10,credit card,Murray Hill,Yorkville West
08-03-2019 12:46,08-03-2019 13:14,1,2.9,18,credit card,West Chelsea/Hudson Yards,Upper East Side South
12-03-2019 11:48,12-03-2019 11:55,1,0.56,6,credit card,Midtown East,Midtown Center
15-03-2019 11:21,15-03-2019 11:42,1,2.48,14.5,credit card,Murray Hill,Little Italy/NoLiTa
13-03-2019 21:17,13-03-2019 21:25,2,1.6,8,credit card,Upper West Side South,Lincoln Square East
25-03-2019 18:15,25-03-2019 18:16,2,0.07,2.5,credit card,Williamsbridge/Olinville,Williamsbridge/Olinville
02-03-2019 11:49,02-03-2019 11:58,2,2.69,10.5,credit card,Upper West Side South,Clinton East
17-03-2019 22:28,17-03-2019 22:32,1,0.67,5,credit card,Midtown South,Garment District
02-03-2019 19:20,02-03-2019 19:21,1,0.1,2.5,,Lenox Hill West,Upper East Side South
28-03-2019 12:09,28-03-2019 12:27,2,2.6,13,credit card,Yorkville West,Lincoln Square East
10-03-2019 14:35,10-03-2019 14:45,1,0.8,7.5,cash,East Chelsea,Flatiron
11-03-2019 20:28,11-03-2019 20:45,2,2.46,13,cash,Garment District,Greenwich Village South
29-03-2019 14:20,29-03-2019 14:36,6,2.72,12.5,credit card,Hudson Sq,Murray Hill
13-03-2019 20:16,13-03-2019 20:27,1,1.7,9,credit card,Yorkville East,Upper East Side South
17-03-2019 22:43,17-03-2019 22:57,2,3.5,13,credit card,Lincoln Square East,Greenwich Village North
08-03-2019 07:00,08-03-2019 07:07,1,1.2,6.5,credit card,Midtown North,Midtown Center
14-03-2019 18:33,14-03-2019 18:40,1,0.91,6,credit card,Lincoln Square West,Lincoln Square East
01-03-2019 11:58,01-03-2019 12:10,1,0.9,8.5,,Yorkville West,Upper East Side North
10-03-2019 15:01,10-03-2019 15:14,3,2,10.5,cash,Upper East Side South,Times Sq/Theatre District
24-03-2019 20:29,24-03-2019 20:54,2,7.42,23,credit card,East Village,Central Harlem North
27-03-2019 14:09,27-03-2019 14:52,1,5.12,27.5,credit card,Upper East Side North,East Village
09-03-2019 03:33,09-03-2019 03:46,1,4.12,15,credit card,Lower East Side,Battery Park City
27-03-2019 16:07,27-03-2019 16:27,3,2.46,13.5,credit card,Financial District North,East Village
01-03-2019 12:40,01-03-2019 12:55,1,1.78,10.5,credit card,Lincoln Square East,Midtown East
28-03-2019 17:19,28-03-2019 18:38,0,21.1,52,cash,Lincoln Square West,JFK Airport
14-03-2019 07:25,14-03-2019 07:36,1,0.6,8,credit card,Garment District,Midtown Center
29-03-2019 21:41,29-03-2019 21:50,1,1,7.5,cash,East Chelsea,Penn Station/Madison Sq West
08-03-2019 16:36,08-03-2019 16:39,6,0.54,4.5,credit card,Central Harlem North,Central Harlem
17-03-2019 19:15,17-03-2019 19:24,5,0.78,7,credit card,East Chelsea,Penn Station/Madison Sq West
01-03-2019 20:38,01-03-2019 20:48,1,1.43,8,credit card,TriBeCa/Civic Center,Chinatown
02-03-2019 18:59,02-03-2019 19:18,2,1.7,13,credit card,Greenwich Village North,Midtown South
08-03-2019 23:00,08-03-2019 23:20,1,4.8,18.5,credit card,Yorkville West,Kips Bay
06-03-2019 22:08,06-03-2019 22:21,1,1.6,9.5,credit card,Greenwich Village North,East Village
28-03-2019 23:12,28-03-2019 23:17,1,0.88,5.5,credit card,Greenwich Village South,Greenwich Village North
01-03-2019 17:23,01-03-2019 17:27,1,0.4,4,cash,Lenox Hill East,Yorkville East
16-03-2019 01:34,16-03-2019 01:49,1,4.35,15,credit card,Hudson Sq,Upper West Side South
29-03-2019 21:44,29-03-2019 22:02,2,4.7,16.5,credit card,East Chelsea,Yorkville East
18-03-2019 16:14,18-03-2019 16:20,2,1.27,6.5,credit card,Murray Hill,East Village
17-03-2019 02:37,17-03-2019 02:40,2,0.8,5,credit card,East Village,Union Sq
04-03-2019 15:57,04-03-2019 16:11,2,1.96,10.5,credit card,Union Sq,Murray Hill
20-03-2019 10:25,20-03-2019 11:02,1,4.2,23,credit card,Hudson Sq,Upper East Side South
03-03-2019 19:35,03-03-2019 19:49,1,2.53,11.5,cash,Central Park,Midtown South
21-03-2019 21:07,21-03-2019 21:14,2,1,6.5,credit card,Meatpacking/West Village West,TriBeCa/Civic Center
14-03-2019 19:34,14-03-2019 19:47,1,1.61,10,credit card,Times Sq/Theatre District,Upper East Side South
01-03-2019 08:50,01-03-2019 08:59,1,0.62,6.5,cash,Times Sq/Theatre District,Midtown Center
22-03-2019 10:18,22-03-2019 11:06,1,11.24,39,credit card,LaGuardia Airport,Times Sq/Theatre District
09-03-2019 18:50,09-03-2019 19:02,1,1.24,9,credit card,Gramercy,Penn Station/Madison Sq West
06-03-2019 21:25,06-03-2019 21:31,1,1.5,7,cash,Clinton East,Upper West Side South
06-03-2019 20:13,06-03-2019 20:27,1,1.9,10.5,credit card,Greenwich Village North,East Chelsea
20-03-2019 23:10,20-03-2019 23:19,1,2.1,8.5,cash,Greenwich Village South,Financial District South
12-03-2019 15:56,12-03-2019 16:14,1,0.77,11.5,cash,Midtown North,Midtown East
31-03-2019 00:04,31-03-2019 00:22,3,2.9,14,credit card,Midtown East,West Chelsea/Hudson Yards
19-03-2019 15:47,19-03-2019 15:52,1,0.66,5,cash,Washington Heights South,Hamilton Heights
16-03-2019 18:06,16-03-2019 18:12,2,0.4,5.5,credit card,World Trade Center,Financial District North
14-03-2019 08:56,14-03-2019 09:09,1,1.68,10,cash,Upper West Side South,Upper East Side North
03-03-2019 11:50,03-03-2019 12:04,2,2.09,10.5,credit card,Stuy Town/Peter Cooper Village,Greenwich Village South
03-03-2019 12:35,03-03-2019 12:42,1,1.4,7,cash,Murray Hill,Midtown North
18-03-2019 00:47,18-03-2019 00:54,1,1.29,7,cash,Manhattanville,Central Harlem
03-03-2019 00:55,03-03-2019 01:12,2,4,16,credit card,Times Sq/Theatre District,Lower East Side
23-03-2019 23:20,23-03-2019 23:55,1,5.9,25.5,cash,Gramercy,Stuyvesant Heights
13-03-2019 18:23,13-03-2019 18:27,2,0.86,5,cash,Clinton East,East Chelsea
07-03-2019 10:23,07-03-2019 10:32,1,0.49,7,credit card,Midtown South,Penn Station/Madison Sq West
26-03-2019 15:50,26-03-2019 16:01,1,1.6,9,cash,Midtown South,UN/Turtle Bay South
11-03-2019 15:57,11-03-2019 16:17,1,3.54,15,credit card,Greenwich Village South,Midtown South
08-03-2019 22:45,08-03-2019 22:50,1,0.7,5.5,credit card,West Village,West Village
05-03-2019 06:41,05-03-2019 06:45,2,0.66,4.5,cash,TriBeCa/Civic Center,Seaport
22-03-2019 08:00,22-03-2019 08:17,1,3.25,13.5,credit card,Murray Hill,West Village
25-03-2019 14:37,25-03-2019 14:38,1,0,2.5,credit card,Queensbridge/Ravenswood,Queensbridge/Ravenswood
21-03-2019 19:30,21-03-2019 19:39,1,1,7,credit card,Midtown South,Union Sq
16-03-2019 15:57,16-03-2019 16:29,3,2.9,20.5,credit card,Hudson Sq,Midtown North
17-03-2019 12:48,17-03-2019 12:53,1,1.14,6,credit card,Upper East Side North,Lenox Hill West
25-03-2019 16:09,25-03-2019 17:02,1,18.51,52,credit card,JFK Airport,West Village
06-03-2019 23:24,06-03-2019 23:45,1,7.4,23.5,credit card,Midtown East,Cobble Hill
07-03-2019 19:04,07-03-2019 19:21,1,2.78,12.5,credit card,Yorkville West,Lincoln Square West
17-03-2019 20:03,17-03-2019 20:07,3,0.59,4.5,credit card,Little Italy/NoLiTa,East Village
24-03-2019 20:36,24-03-2019 20:41,1,0.85,5,credit card,Midtown South,Gramercy
16-03-2019 00:33,16-03-2019 00:46,1,2.36,11.5,credit card,Upper West Side North,Upper East Side North
27-03-2019 17:11,27-03-2019 17:17,6,0.8,5.5,credit card,Flatiron,Union Sq
04-03-2019 16:27,04-03-2019 16:36,3,1.42,8,credit card,Gramercy,Lower East Side
06-03-2019 11:37,06-03-2019 12:01,1,7.08,25.5,credit card,Midtown North,Washington Heights South
05-03-2019 21:33,05-03-2019 21:47,1,3.45,13.5,credit card,Midtown East,Astoria
19-03-2019 16:36,19-03-2019 16:53,1,2.39,13,credit card,Lincoln Square East,Morningside Heights
13-03-2019 14:08,13-03-2019 14:24,1,1.7,11.5,credit card,Union Sq,West Chelsea/Hudson Yards
30-03-2019 22:02,30-03-2019 22:49,2,6.79,31.5,credit card,Greenwich Village South,Upper West Side South
25-03-2019 17:14,25-03-2019 17:29,1,1.32,10.5,cash,Midtown North,Garment District
21-03-2019 19:43,21-03-2019 19:54,1,2.8,11,credit card,West Village,Clinton West
13-03-2019 22:35,13-03-2019 22:35,1,0,2.5,,JFK Airport,JFK Airport
15-03-2019 17:37,15-03-2019 17:48,2,1.44,9,cash,East Village,Alphabet City
19-03-2019 14:30,19-03-2019 15:03,5,10.12,33,credit card,JFK Airport,Crown Heights North
03-03-2019 12:37,03-03-2019 12:50,1,2,10.5,credit card,Flatiron,Midtown Center
09-03-2019 22:03,09-03-2019 22:29,1,3.8,19,credit card,West Village,Upper East Side South
26-03-2019 15:41,26-03-2019 16:14,1,2.5,20,credit card,Penn Station/Madison Sq West,Hudson Sq
25-03-2019 23:40,25-03-2019 23:42,2,0.34,3.5,cash,Clinton East,Clinton East
24-03-2019 15:15,24-03-2019 15:30,1,4.18,14.5,cash,Astoria,UN/Turtle Bay South
02-03-2019 17:38,02-03-2019 17:47,6,1.08,7.5,credit card,Midtown North,Midtown Center
03-03-2019 10:21,03-03-2019 10:26,2,1.34,6.5,credit card,Clinton East,East Chelsea
30-03-2019 23:14,30-03-2019 23:18,1,1,5.5,credit card,Upper East Side South,Upper East Side North
27-03-2019 13:56,27-03-2019 14:19,1,3.49,16.5,credit card,Upper East Side North,Clinton East
30-03-2019 16:57,30-03-2019 17:16,2,2.6,14.5,,Two Bridges/Seward Park,Murray Hill
05-03-2019 10:30,05-03-2019 10:46,2,0.88,10.5,credit card,Penn Station/Madison Sq West,Murray Hill
28-03-2019 10:05,28-03-2019 10:40,2,10.22,33.5,credit card,LaGuardia Airport,Times Sq/Theatre District
13-03-2019 10:21,13-03-2019 10:40,2,8.97,26.5,credit card,Lenox Hill West,LaGuardia Airport
14-03-2019 12:58,14-03-2019 13:05,1,1.21,7,cash,Hamilton Heights,Hamilton Heights
05-03-2019 15:32,05-03-2019 15:57,2,2.6,16.5,credit card,Lincoln Square East,Upper East Side North
04-03-2019 14:59,04-03-2019 15:07,2,1.85,7.5,cash,Sutton Place/Turtle Bay North,UN/Turtle Bay South
29-03-2019 21:11,29-03-2019 21:20,2,0.9,7,credit card,Times Sq/Theatre District,Midtown South
31-03-2019 13:49,31-03-2019 13:53,1,0.71,5,credit card,Upper East Side South,Upper East Side South
23-03-2019 07:07,23-03-2019 07:14,1,1.37,7,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District
06-03-2019 14:09,06-03-2019 14:55,2,16.7,52,credit card,Midtown South,JFK Airport
25-03-2019 11:48,25-03-2019 11:55,1,0.6,6,cash,Midtown Center,Murray Hill
11-03-2019 20:06,11-03-2019 20:13,2,0.9,6.5,credit card,Meatpacking/West Village West,SoHo
18-03-2019 13:58,18-03-2019 14:11,1,1.3,10,credit card,Clinton East,Murray Hill
14-03-2019 12:24,14-03-2019 12:31,1,0.7,6,credit card,Upper East Side South,Central Park
18-03-2019 06:52,18-03-2019 06:58,1,0.8,6,credit card,Sutton Place/Turtle Bay North,Midtown Center
04-03-2019 06:09,04-03-2019 06:12,1,0.7,4.5,credit card,Clinton East,East Chelsea
09-03-2019 16:08,09-03-2019 16:12,1,1.01,5,credit card,Upper East Side South,Lincoln Square East
13-03-2019 19:20,13-03-2019 19:36,1,2.99,13.5,cash,Upper East Side South,Central Harlem
12-03-2019 21:23,12-03-2019 21:57,1,12.21,37.5,credit card,JFK Airport,Clinton Hill
19-03-2019 16:43,19-03-2019 17:37,1,17.82,52,credit card,,Garment District
16-03-2019 16:44,16-03-2019 17:33,1,17.67,52,credit card,JFK Airport,Gramercy
08-03-2019 05:21,08-03-2019 05:39,1,10.7,30.5,credit card,JFK Airport,Rego Park
04-03-2019 15:55,04-03-2019 15:57,1,0.35,3.5,credit card,Lenox Hill West,Upper East Side North
02-03-2019 13:39,02-03-2019 14:07,1,10.5,30.5,credit card,LaGuardia Airport,West Village
10-03-2019 23:35,10-03-2019 23:46,1,3.16,12,credit card,Upper East Side South,Greenwich Village North
23-03-2019 19:15,23-03-2019 19:40,1,2.96,17,credit card,East Village,Clinton East
21-03-2019 12:21,21-03-2019 12:43,1,2.76,15,credit card,Flatiron,Battery Park City
09-03-2019 09:41,09-03-2019 09:48,1,0.91,6,cash,Upper East Side North,Upper East Side South
04-03-2019 07:54,04-03-2019 08:14,2,2.9,14.5,cash,TriBeCa/Civic Center,Penn Station/Madison Sq West
01-03-2019 18:27,01-03-2019 19:06,1,14.06,40.5,credit card,LaGuardia Airport,Times Sq/Theatre District
11-03-2019 06:22,11-03-2019 06:28,3,0.78,6,cash,Garment District,Murray Hill
08-03-2019 14:18,08-03-2019 14:35,3,3.08,13.5,credit card,Clinton West,Greenwich Village South
09-03-2019 09:48,09-03-2019 10:06,1,4.1,16,cash,Little Italy/NoLiTa,Upper East Side North
15-03-2019 22:45,15-03-2019 23:09,4,3.92,17,cash,Lower East Side,Lenox Hill West
02-03-2019 14:55,02-03-2019 15:10,1,1.66,11,credit card,Midtown North,Penn Station/Madison Sq West
09-03-2019 08:58,09-03-2019 09:15,1,5.65,19,credit card,Midtown North,Financial District North
23-03-2019 13:35,23-03-2019 13:37,2,0.2,3,cash,Lenox Hill West,Lenox Hill West
22-03-2019 18:27,22-03-2019 19:04,1,5.8,22,credit card,Bedford,Gramercy
06-03-2019 20:59,06-03-2019 21:19,1,3.53,15,credit card,Times Sq/Theatre District,Long Island City/Hunters Point
08-03-2019 06:56,08-03-2019 07:04,1,1.26,7,cash,Lincoln Square West,Clinton East
31-03-2019 01:10,31-03-2019 01:21,1,2.56,10.5,cash,West Village,Central Park
03-03-2019 14:23,03-03-2019 14:29,1,0.99,6,credit card,SoHo,TriBeCa/Civic Center
21-03-2019 12:31,21-03-2019 12:36,1,1.02,5.5,cash,Hudson Sq,Meatpacking/West Village West
28-03-2019 09:33,28-03-2019 09:39,3,0.59,5.5,credit card,Union Sq,Greenwich Village North
30-03-2019 23:09,30-03-2019 23:14,1,0.88,5,cash,Seaport,SoHo
20-03-2019 21:20,20-03-2019 21:40,1,3.88,15.5,credit card,Greenwich Village North,Boerum Hill
24-03-2019 20:14,24-03-2019 20:19,1,0.7,5.5,cash,Lincoln Square East,Lincoln Square West
20-03-2019 02:00,20-03-2019 02:09,1,2.3,9,credit card,Midtown East,Flatiron
08-03-2019 07:38,08-03-2019 07:49,1,2.1,9.5,credit card,Upper West Side South,Times Sq/Theatre District
01-03-2019 14:04,01-03-2019 14:20,1,2.16,12,credit card,Clinton East,Gramercy
02-03-2019 23:25,02-03-2019 23:48,2,10.97,32,credit card,Gowanus,Woodside
18-03-2019 19:31,18-03-2019 19:36,1,0.81,5,credit card,Upper West Side North,Manhattan Valley
08-03-2019 19:25,08-03-2019 19:49,1,3.9,17,credit card,Midtown East,TriBeCa/Civic Center
28-03-2019 12:55,28-03-2019 12:59,1,0.56,5,credit card,Greenwich Village North,West Village
19-03-2019 22:40,19-03-2019 22:47,1,0.97,6.5,credit card,Battery Park City,Seaport
30-03-2019 23:10,30-03-2019 23:13,0,1.2,5.5,cash,Yorkville East,East Harlem North
04-03-2019 13:59,04-03-2019 14:08,3,1.6,8.5,cash,East Concourse/Concourse Village,West Concourse
07-03-2019 15:37,07-03-2019 15:45,1,0.95,7,credit card,East Chelsea,Flatiron
23-03-2019 15:42,23-03-2019 15:51,1,1,7.5,credit card,Times Sq/Theatre District,Clinton East
14-03-2019 21:07,14-03-2019 21:16,5,1.21,7.5,cash,Gramercy,East Village
28-03-2019 20:34,28-03-2019 20:43,1,1.1,7.5,credit card,Midtown Center,Penn Station/Madison Sq West
12-03-2019 14:55,12-03-2019 15:06,0,1,8,credit card,Midtown Center,Penn Station/Madison Sq West
07-03-2019 08:44,07-03-2019 08:48,1,0.6,4.5,credit card,East Chelsea,East Chelsea
15-03-2019 14:36,15-03-2019 14:53,1,2.51,12.5,cash,Midtown South,Upper East Side North
21-03-2019 20:50,21-03-2019 20:51,6,0.48,3.5,cash,Upper East Side North,Upper East Side North
26-03-2019 15:04,26-03-2019 15:10,2,0.76,5,cash,Midtown North,Times Sq/Theatre District
28-03-2019 12:33,28-03-2019 12:50,1,1.05,11,cash,Midtown Center,Midtown South
22-03-2019 15:00,22-03-2019 15:07,1,1.09,7,cash,Times Sq/Theatre District,West Chelsea/Hudson Yards
14-03-2019 19:49,14-03-2019 20:10,1,2.1,13.5,credit card,Clinton East,Upper East Side South
23-03-2019 16:47,23-03-2019 16:57,2,1.2,7.5,credit card,Central Park,Midtown Center
02-03-2019 23:07,02-03-2019 23:23,1,2.08,12,credit card,Midtown Center,Lincoln Square West
05-03-2019 21:14,05-03-2019 21:20,1,1.27,6.5,cash,Midtown North,Penn Station/Madison Sq West
10-03-2019 19:32,10-03-2019 20:17,4,18.86,52,credit card,JFK Airport,West Village
21-03-2019 08:15,21-03-2019 08:21,1,0.7,5.5,credit card,West Village,Union Sq
18-03-2019 19:58,18-03-2019 20:17,2,7.03,22,cash,JFK Airport,Queens Village
30-03-2019 13:31,30-03-2019 13:58,3,3.41,19,cash,Flushing,North Corona
16-03-2019 09:55,16-03-2019 09:59,1,1.09,5.5,credit card,Upper East Side South,Sutton Place/Turtle Bay North
13-03-2019 07:56,13-03-2019 08:11,1,3.04,13,credit card,Lenox Hill East,Manhattan Valley
29-03-2019 02:40,29-03-2019 02:49,1,1,7.5,cash,Hudson Sq,West Village
